step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,328967.35,C1805412777,0.0,0.0,C716083600,1889487.5,2444985.19,0,0
1,TRANSFER,194415.49,C219812012,740.0,0.0,C64133603,362.44,6706.68,0,0
1,CASH_OUT,422125.99,C742568993,0.0,0.0,C716083600,2218454.85,2444985.19,0,0
1,CASH_OUT,55105.9,C2007486296,0.0,0.0,C932583850,317952.89,2719172.89,0,0
1,CASH_IN,294676.6,C140110402,2109805.18,2404481.78,C667346055,9291619.62,10695480.59,0,0
1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89,0,0
1,CASH_IN,911.76,C566760932,1335635.48,1336547.24,C1364913072,48321.6,47409.85,0,0
1,CASH_OUT,144964.23,C1380976928,0.0,0.0,C932583850,785172.07,2719172.89,0,0
1,TRANSFER,208376.61,C268379633,133.99,0.0,C716083600,1541573.96,2444985.19,0,0
1,CASH_IN,405429.47,C873769155,3088550.1,3493979.56,C716083600,2444985.19,2107162.1,0,0
1,CASH_IN,11436.9,C526720216,5615669.12,5627106.02,C2100440237,26612.0,235238.66,0,0
1,TRANSFER,7206.33,C478139423,24932.0,17725.67,C1032986144,21308.0,18161.79,0,0
1,CASH_IN,13553.79,C1883237069,1077360.84,1090914.63,C836514715,722161.86,708608.07,0,0
1,CASH_OUT,205279.62,C1160487387,0.0,0.0,C932583850,1541618.1,2719172.89,0,0
1,TRANSFER,722161.86,C366916060,11120.0,0.0,C836514715,0.0,708608.07,0,0
1,TRANSFER,2441078.3,C1864007931,0.0,0.0,C667346055,8996943.02,10695480.59,0,0
1,CASH_OUT,1234.0,C1574615832,0.0,0.0,C1983025922,29906.0,7550.03,0,0
1,CASH_OUT,41295.56,C1011104118,20720.74,0.0,C932583850,2614230.5,2719172.89,0,0
1,CASH_IN,42012.45,C1137667747,350501.24,350501.24,C667346055,350501.24,9291619.62,0,0
1,CASH_OUT,88987.11,C2014563089,2816.58,0.0,C932583850,696184.96,2719172.89,0,0
1,CASH_IN,57809.81,C635610193,3434765.61,3492575.42,C1454031203,59666.0,0.0,0,0
1,TRANSFER,118365.47,C2110558717,0.0,0.0,C716083600,1771122.03,2444985.19,0,0
1,DEBIT,1072.36,C1298330822,1388.0,315.64,C1711105800,456986.0,147251.58,0,0
1,CASH_OUT,51749.94,C1429616542,0.0,0.0,C297927961,62470.0,132842.64,0,0
1,CASH_IN,147987.48,C1291485735,3099733.16,3247720.64,C2100440237,235238.66,87251.18,0,0
1,CASH_OUT,58516.68,C8197402,17761.75,0.0,C932583850,2655526.06,2719172.89,0,0
1,TRANSFER,34115.82,C1378280450,32043.0,0.0,C2089016471,245.56,34361.39,0,0
1,CASH_OUT,14166.38,C1018742990,595572.48,581406.1,C1364913072,34155.22,47409.85,0,0
1,TRANSFER,1755646.72,C538375433,0.0,0.0,C932583850,2719172.89,4410975.57,0,0
1,DEBIT,930.99,C2017393480,18354.65,17423.66,C1032986144,17230.8,18161.79,0,0
1,CASH_IN,143405.8,C2108708444,10102842.03,10246247.83,C667346055,195636.81,9291619.62,0,0
1,CASH_IN,31657.28,C145105559,2600728.62,2632385.91,C1983025922,39207.31,7550.03,0,0
1,CASH_IN,90540.93,C891715540,7210213.98,7300754.91,C297927961,181049.46,97990.29,0,0
1,TRANSFER,191177.92,C1460126155,0.0,0.0,C716083600,1749950.57,2444985.19,0,0
1,CASH_OUT,235238.66,C1499825229,235238.66,0.0,C2100440237,0.0,235238.66,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
1,CASH_OUT,2806.0,C2101527076,2806.0,0.0,C1007251739,26202.0,0.0,1,0
1,TRANSFER,20128.0,C137533655,20128.0,0.0,C1848415041,0.0,0.0,1,0
1,CASH_OUT,20128.0,C1118430673,20128.0,0.0,C339924917,6268.0,12145.85,1,0
1,CASH_OUT,416001.33,C749981943,0.0,0.0,C667346055,102.0,9291619.62,1,0
1,TRANSFER,1277212.77,C1334405552,1277212.77,0.0,C431687661,0.0,0.0,1,0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,0
1,TRANSFER,35063.63,C1364127192,35063.63,0.0,C1136419747,0.0,0.0,1,0
1,CASH_OUT,35063.63,C1635772897,35063.63,0.0,C1983025922,31140.0,7550.03,1,0
1,TRANSFER,25071.46,C669700766,25071.46,0.0,C1384210339,0.0,0.0,1,0
1,CASH_OUT,25071.46,C1275464847,25071.46,0.0,C1364913072,9083.76,34155.22,1,0
1,CASH_OUT,132842.64,C13692003,4499.08,0.0,C297927961,0.0,132842.64,1,0
1,TRANSFER,235238.66,C1872047468,235238.66,0.0,C116289363,0.0,0.0,1,0
1,CASH_IN,355252.74,C1392271025,1361890.84,1717143.58,C716083600,2800237.93,2444985.19,0,0
1,CASH_OUT,159657.1,C1366629983,0.0,0.0,C716083600,2640580.83,2444985.19,0,0
1,CASH_IN,104335.07,C1223050066,2686376.98,2790712.05,C716083600,1875457.1,2444985.19,0,0
1,CASH_IN,298109.36,C712732521,9332557.22,9630666.58,C667346055,493746.17,9291619.62,0,0
1,CASH_OUT,114057.61,C1108706191,0.0,0.0,C932583850,1427560.49,2719172.89,0,0
1,TRANSFER,19772.53,C792488644,0.0,0.0,C2094777811,44486.99,64259.52,0,0
2,CASH_IN,351633.67,C1163664780,1443170.79,1794804.46,C667346055,11047114.27,10695480.59,0,0
2,CASH_IN,27505.56,C874548138,262726.67,290232.23,C621014131,107562.34,0.0,0,0
2,CASH_OUT,82399.46,C685827172,10895.0,0.0,C154319946,0.0,82399.46,0,0
2,CASH_IN,209929.52,C2122252822,3600117.74,3810047.26,C836514715,708608.07,449166.44,0,0
2,DEBIT,7481.76,C932118570,41487.0,34005.24,C297927961,90508.53,97990.29,0,0
2,CASH_IN,132890.64,C354154358,9373190.47,9506081.11,C716083600,1960209.53,2107162.1,0,0
2,DEBIT,8723.05,C2014777783,12580.0,3856.95,C991505714,1266524.82,1066634.1,0,0
