id,total_incoming_val,total_outgoing_val,trans_count,is_fraud_node,node_type,avg_trans_val
C58682758,0.0,989966.55,1.0,1,Mule,989966.55
C1465884688,0.0,173307.41,1.0,0,User,173307.41
C710875392,0.0,25930.44,1.0,0,User,25930.44
C1146126166,5354583.26,0.0,13.0,1,Mule,411891.01999999996
C190426141,0.0,54011.43,1.0,0,User,54011.43
C1358818796,0.0,332884.36,1.0,0,User,332884.36
C1253595453,0.0,54528.32,1.0,0,User,54528.32
C1629558772,8104557.88,0.0,1.0,1,Mule,8104557.88
C780519364,0.0,58931.45,1.0,0,User,58931.45
C1264693095,0.0,152899.23,1.0,0,User,152899.23
C366503131,0.0,228456.17,1.0,0,User,228456.17
C825267897,0.0,5074.76,1.0,0,User,5074.76
C1377280897,0.0,11653.98,1.0,1,Mule,11653.98
C1616215537,0.0,151850.0,1.0,0,User,151850.0
C2693395960,723814.5092983831,717262.2817355071,3.0,1,Mule,480358.93034463003
C1828497798,0.0,102918.04,1.0,0,User,102918.04
C1446317541,0.0,814689.88,1.0,1,Mule,814689.88
C1690857158,0.0,100959.75,1.0,0,User,100959.75
C1983606729,299016.86,0.0,1.0,1,Mule,299016.86
C566558705,0.0,191885.87,1.0,0,User,191885.87
C732436109,0.0,248962.83,1.0,1,Mule,248962.83
C1414911045,0.0,71817.37,1.0,0,User,71817.37
C2007548408,0.0,321866.37,1.0,0,User,321866.37
C1535355129,0.0,141826.5,1.0,0,User,141826.5
C1003342258,0.0,80863.65,1.0,0,User,80863.65
C483746423,0.0,534621.95,1.0,0,User,534621.95
C1365109989,11373886.62,0.0,20.0,1,Mule,568694.331
C1106944498,0.0,7530.56,1.0,0,User,7530.56
C868638230,0.0,107889.89,1.0,0,User,107889.89
C596660112,0.0,93289.53,1.0,0,User,93289.53
C1790560224,0.0,192660.36,1.0,0,User,192660.36
C646888099,0.0,100830.6,1.0,0,User,100830.6
C1039809648,1880404.38,0.0,13.0,1,Mule,144646.49076923076
C919650275,0.0,61118.47,1.0,0,User,61118.47
C1643357784,0.0,52012.11,1.0,0,User,52012.11
C1341336259,0.0,136066.34,1.0,0,User,136066.34
C260414384,0.0,232847.17,1.0,0,User,232847.17
C1591659035,0.0,400157.86,1.0,1,Mule,400157.86
C1178698517,0.0,281087.01,1.0,1,Mule,281087.01
C508305570,0.0,583683.29,1.0,0,User,583683.29
C809319580,0.0,267192.38,1.0,0,User,267192.38
C608112596,0.0,234673.51,1.0,0,User,234673.51
C1426670842,0.0,118970.11,1.0,0,User,118970.11
C1572361880,0.0,416829.28,1.0,0,User,416829.28
C993688560,1103442.85,0.0,4.0,1,Mule,275860.7125
C1678282233,0.0,4130371.73,1.0,1,Mule,4130371.73
C1050223155,0.0,11658.33,1.0,0,User,11658.33
C394189139,0.0,188404.51,1.0,0,User,188404.51
C47864924,0.0,328650.74,1.0,0,User,328650.74
C2071255910,0.0,125163.02,1.0,0,User,125163.02
C678590002,0.0,262678.53,1.0,1,Mule,262678.53
C955891287,0.0,77778.18,1.0,0,User,77778.18
C2045579035,0.0,209038.85,1.0,0,User,209038.85
C716304413,0.0,119010.03,1.0,0,User,119010.03
C1606148618,0.0,50871.33,1.0,0,User,50871.33
C1747066716,5653757.35,0.0,18.0,1,Mule,314097.6305555555
C392319907,0.0,10000000.0,1.0,1,Mule,10000000.0
C667076483,2743400.7,0.0,7.0,1,Mule,391914.3857142857
C1266153685,0.0,84709.43,1.0,0,User,84709.43
C758612821,1205760.86,0.0,1.0,1,Mule,1205760.86
C24670049,0.0,37468.72,1.0,0,User,37468.72
C958479953,63.8,0.0,1.0,1,Mule,63.8
C217483692,0.0,220987.87,1.0,0,User,220987.87
C844748561,0.0,143073.48,1.0,0,User,143073.48
C25449692,0.0,723554.15,1.0,0,User,723554.15
C395973926,0.0,347840.3,1.0,0,User,347840.3
C1758241116,0.0,85113.85,1.0,1,Mule,85113.85
C6844555,0.0,78306.23,1.0,0,User,78306.23
C2085403463,0.0,40892.53,1.0,0,User,40892.53
C726617458,0.0,326052.83,1.0,1,Mule,326052.83
C39974743,0.0,403417.08,1.0,0,User,403417.08
C77095700,0.0,41030.41,1.0,0,User,41030.41
C1124724079,228483.78088807265,222341.07225582222,2.0,1,Mule,225412.42657194744
C8554773504,594122.0055743074,581204.4500689015,2.0,1,Mule,587663.2278216045
C1879133367,0.0,80990.02,1.0,0,User,80990.02
C2072118646,0.0,196427.93,1.0,0,User,196427.93
C625824203,0.0,272426.79,1.0,0,User,272426.79
C1153797149,0.0,722114.21,1.0,0,User,722114.21
C1200877577,4546598.65,0.0,13.0,1,Mule,349738.35769230773
C1859428383,0.0,1576874.04,1.0,1,Mule,1576874.04
C1674773109,191834.14,0.0,1.0,1,Mule,191834.14
C1797345744,2305939.38,0.0,1.0,1,Mule,2305939.38
C998257949,0.0,2382800.62,1.0,0,User,2382800.62
C1449439244,0.0,651.55,1.0,0,User,651.55
C2035545592,0.0,160007.85,1.0,0,User,160007.85
C596425835,0.0,425328.3,1.0,0,User,425328.3
C472872329,0.0,227304.91,1.0,1,Mule,227304.91
C1403619846,0.0,120921.38,1.0,0,User,120921.38
C46215404,0.0,97557.09,1.0,0,User,97557.09
C1243124876,0.0,105302.5,1.0,0,User,105302.5
C923544221,0.0,308863.24,1.0,0,User,308863.24
C5379682716,927532.5271744593,898772.2281841798,2.0,1,Mule,913152.3776793196
C569567664,0.0,338142.7,1.0,0,User,338142.7
C1671232989,2477197.95,0.0,11.0,1,Mule,225199.81363636366
C1352141041,0.0,509348.25,1.0,0,User,509348.25
C1484565978,0.0,16607.77,1.0,0,User,16607.77
C7939294559,60709.26365368526,59999.50592205813,2.0,1,Mule,60354.38478787169
C2137263292,0.0,238387.75,1.0,0,User,238387.75
C1676610572,0.0,816452.19,1.0,1,Mule,816452.19
C1630126967,0.0,144406.6,1.0,0,User,144406.6
C1201226628,0.0,406711.7,1.0,0,User,406711.7
C1316357800,4028668.9499999997,0.0,15.0,1,Mule,268577.93
C213790449,0.0,268762.37,1.0,1,Mule,268762.37
C1417723746,0.0,82677.69,1.0,0,User,82677.69
C154011255,0.0,93217.3,1.0,0,User,93217.3
C743745048,0.0,202184.03,1.0,0,User,202184.03
C1081217376,0.0,68767.82,1.0,0,User,68767.82
C733817123,7781897.31,0.0,7.0,1,Mule,1111699.6157142858
C88609365,0.0,291912.74,1.0,0,User,291912.74
C2097780995,844741.26,0.0,10.0,1,Mule,84474.126
C1232941779,0.0,304472.46,1.0,1,Mule,304472.46
C184528130,0.0,183119.59,1.0,0,User,183119.59
C939676867,0.0,122914.81,1.0,0,User,122914.81
C770120843,0.0,205252.66,1.0,0,User,205252.66
C377455642,0.0,949781.87,1.0,0,User,949781.87
C1394320102,0.0,63045.77,1.0,0,User,63045.77
C2064881633,0.0,237212.65,1.0,0,User,237212.65
C1423112839,0.0,14946.95,1.0,0,User,14946.95
C1304167676,0.0,69144.31,1.0,0,User,69144.31
C2086087020,0.0,1032168.79,1.0,1,Mule,1032168.79
C2121918231,0.0,208935.52,1.0,0,User,208935.52
C127960549,0.0,254773.22,1.0,1,Mule,254773.22
C1168019553,363202.7857102492,348992.26495880843,2.0,1,Mule,356097.5253345288
C5530067285,0.0,628574.0,1.0,1,Mule,628574.0
C1450703967,0.0,100847.1,1.0,0,User,100847.1
C1412132938,4616584.58,0.0,20.0,1,Mule,230829.229
C533492345,633610.66,0.0,1.0,1,Mule,633610.66
C351718063,0.0,51063.68,1.0,0,User,51063.68
C941259313,0.0,150000.47,1.0,0,User,150000.47
C1389107640,0.0,446501.61,1.0,0,User,446501.61
C2080381414,0.0,258366.0,1.0,0,User,258366.0
C1069321243,0.0,14703.03,1.0,0,User,14703.03
C2020386791,241163.97999999998,0.0,3.0,1,Mule,80387.99333333333
C1863595086,0.0,118502.55,1.0,0,User,118502.55
C1994974381,1234777.45,0.0,5.0,1,Mule,246955.49
C1209603675,0.0,220104.56,1.0,0,User,220104.56
C1777704750,0.0,98736.52,1.0,1,Mule,98736.52
C79775031,0.0,140627.37,1.0,0,User,140627.37
C1189173126,0.0,413932.19,1.0,0,User,413932.19
C103413738,0.0,22686.5,1.0,0,User,22686.5
C6538344310,475495.17300390545,460927.55586166674,2.0,1,Mule,468211.3644327861
C1774810872,0.0,18757.21,1.0,0,User,18757.21
C1117871857,0.0,365739.39,1.0,0,User,365739.39
C1506718001,0.0,196809.95,1.0,0,User,196809.95
C824646662,0.0,10000000.0,1.0,1,Mule,10000000.0
C774123810,0.0,79043.83,1.0,0,User,79043.83
C8260847514,660576.225700719,640236.6882523817,2.0,1,Mule,650406.4569765504
C939933921,0.0,1301410.68,1.0,1,Mule,1301410.68
C1334670556,0.0,81733.67,1.0,0,User,81733.67
C606293803,0.0,88091.64,1.0,0,User,88091.64
C8438319529,321951.74084712093,314739.63125951873,2.0,1,Mule,318345.68605331983
C2069588490,0.0,287835.5,1.0,0,User,287835.5
C270577353,15180897.32,0.0,9.0,1,Mule,1686766.368888889
C988617698,0.0,511803.91,1.0,0,User,511803.91
C912148182,0.0,174627.66,1.0,0,User,174627.66
C782588281,0.0,22891.67,1.0,0,User,22891.67
C1519280658,453014.0035591412,0.0,1.0,1,Mule,453014.0035591412
C316873218,0.0,84194.76,1.0,0,User,84194.76
C433711848,0.0,74208.61,1.0,0,User,74208.61
C2052154218,0.0,105076.61,1.0,0,User,105076.61
C4015776529,324931.8228074326,323720.134547458,3.0,1,Mule,216217.31911829687
C548695977,0.0,177497.45,1.0,0,User,177497.45
C426878281,0.0,7218629.01,1.0,1,Mule,7218629.01
C2069592965,0.0,521000.18,1.0,0,User,521000.18
C2078704475,0.0,3595911.39,1.0,1,Mule,3595911.39
C145448061,0.0,5475018.52,1.0,1,Mule,5475018.52
C1271018587,0.0,432826.97,1.0,0,User,432826.97
C775810552,10324882.9,0.0,4.0,1,Mule,2581220.725
C2145270135,0.0,8240.45,1.0,0,User,8240.45
C1547240563,2161755.06,0.0,7.0,1,Mule,308822.15142857144
C1960742337,0.0,298486.59,1.0,0,User,298486.59
C742342989,0.0,87459.99,1.0,0,User,87459.99
C961822849,0.0,211660.64,1.0,0,User,211660.64
C84594080,0.0,237642.64,1.0,1,Mule,237642.64
C152367037,0.0,1025082.07,1.0,1,Mule,1025082.07
C467574711,0.0,88495.66,1.0,0,User,88495.66
C567892033,0.0,258473.2,1.0,0,User,258473.2
C1288144124,0.0,158964.98,1.0,0,User,158964.98
C1663786105,0.0,225055.89,1.0,0,User,225055.89
C1142308678,459889.25,0.0,2.0,1,Mule,229944.625
C1105628995,0.0,277848.4,1.0,0,User,277848.4
C1989695560,0.0,118292.2,1.0,0,User,118292.2
C1417598515,0.0,145664.88,1.0,0,User,145664.88
C5000175399,311399.865166175,296555.13494738354,2.0,1,Mule,303977.50005677924
C930526920,0.0,92661.4,1.0,0,User,92661.4
C942745459,0.0,187459.53,1.0,0,User,187459.53
C183607143,0.0,62929.36,1.0,0,User,62929.36
C196793282,0.0,351897.06,1.0,0,User,351897.06
C935658927,0.0,6199009.0,1.0,1,Mule,6199009.0
C1804568294,0.0,161039.05,1.0,0,User,161039.05
C493776178,0.0,238537.48,1.0,0,User,238537.48
C329490503,0.0,197524.62,1.0,0,User,197524.62
C1131473733,0.0,138075.4,1.0,0,User,138075.4
C723019595,0.0,2626957.79,1.0,1,Mule,2626957.79
C109224311,0.0,173294.36,1.0,0,User,173294.36
C1601875596,2757388.02,0.0,6.0,1,Mule,459564.67
C1659284152,0.0,77846.19,1.0,0,User,77846.19
C1166329534,0.0,26541.1,1.0,0,User,26541.1
C368001348,0.0,11789.18,1.0,0,User,11789.18
C1937759082,0.0,75088.46,1.0,0,User,75088.46
C1026625643,0.0,1080355.16,1.0,0,User,1080355.16
C8679949901,232744.36015092584,227726.14134919533,2.0,1,Mule,230235.2507500606
C1122850221,351735.86,0.0,3.0,1,Mule,117245.28666666667
C1479987881,178428.65,0.0,3.0,1,Mule,59476.21666666667
C1235207087,0.0,123469.54,1.0,0,User,123469.54
C1649643956,0.0,86950.88,1.0,0,User,86950.88
C191309961,0.0,169194.58,1.0,0,User,169194.58
C1146661442,0.0,64791.22,1.0,0,User,64791.22
C1060206764,0.0,125033.04,1.0,0,User,125033.04
C828608537,0.0,5569660.73,1.0,0,User,5569660.73
C1336806023,0.0,156241.08,1.0,0,User,156241.08
C616453414,0.0,14919.2,1.0,0,User,14919.2
C1350854883,2794878.32,0.0,7.0,1,Mule,399268.33142857143
C1198861647,0.0,125146.75,1.0,1,Mule,125146.75
C718578709,0.0,119652.44,1.0,0,User,119652.44
C953081129,0.0,246170.03,1.0,0,User,246170.03
C2050767804,0.0,620479.48,1.0,0,User,620479.48
C1575522252,331034.38,0.0,2.0,1,Mule,165517.19
C791144032,0.0,2897907.81,1.0,1,Mule,2897907.81
C2063961306,0.0,161640.18,1.0,0,User,161640.18
C748095497,0.0,462867.48,1.0,0,User,462867.48
C2046784543,0.0,1068819.73,1.0,0,User,1068819.73
C782792546,2880620.14,0.0,16.0,1,Mule,180038.75875
C1574354079,0.0,76516.36,1.0,0,User,76516.36
C199523657,0.0,62577.88,1.0,0,User,62577.88
C6756076779,74178.0,71571.40592249077,2.0,1,Mule,72874.70296124538
C1366889275,0.0,959275.69,1.0,0,User,959275.69
C2083513923,0.0,18272.08,1.0,0,User,18272.08
C1319039298,0.0,86435.82,1.0,0,User,86435.82
C3310297910,609379.6846704371,578962.4049918171,2.0,1,Mule,594171.0448311272
C1552080163,692654.27,0.0,1.0,1,Mule,692654.27
C184586799,0.0,9217.19,1.0,1,Mule,9217.19
C573421287,0.0,50391.14,1.0,0,User,50391.14
C1951322580,0.0,93518.21,1.0,0,User,93518.21
C1345805735,1660434.02,0.0,4.0,1,Mule,415108.505
C1305749769,52541.42,0.0,1.0,1,Mule,52541.42
C651217805,0.0,256864.44,1.0,0,User,256864.44
C1995262823,1773151.32,0.0,1.0,1,Mule,1773151.32
C487836667,0.0,10000000.0,1.0,1,Mule,10000000.0
C1941610749,0.0,124770.72,1.0,0,User,124770.72
C1482137864,0.0,330660.07,1.0,0,User,330660.07
C557733213,0.0,113221.86,1.0,0,User,113221.86
C1095723877,0.0,46066.54,1.0,0,User,46066.54
C919287143,0.0,72601.39,1.0,0,User,72601.39
C1497447156,0.0,443682.96,1.0,1,Mule,443682.96
C538359910,0.0,14110.04,1.0,0,User,14110.04
C794646915,1344522.14,0.0,3.0,1,Mule,448174.04666666663
C186075022,0.0,7466.12,1.0,1,Mule,7466.12
C1463526590,0.0,10000000.0,1.0,0,User,10000000.0
C1943785467,0.0,311391.58,1.0,0,User,311391.58
C650299335,105733.45,0.0,1.0,1,Mule,105733.45
C2127449495,0.0,340454.02,1.0,0,User,340454.02
C569682630,0.0,365291.51,1.0,0,User,365291.51
C2010346667,0.0,91810.98,1.0,0,User,91810.98
C1521419599,0.0,927729.13,1.0,1,Mule,927729.13
C1298291984,0.0,779398.0,1.0,1,Mule,779398.0
C626767816,0.0,203209.41,1.0,0,User,203209.41
C1960688666,0.0,33234.95,1.0,0,User,33234.95
C80866003,0.0,307614.14,1.0,0,User,307614.14
C860947394,0.0,70879.17,1.0,0,User,70879.17
C12834272,0.0,116493.82,1.0,0,User,116493.82
C1701713893,3217208.76,0.0,2.0,1,Mule,1608604.38
C1925242648,0.0,48740.0,1.0,0,User,48740.0
C1515064416,0.0,145006.38,1.0,0,User,145006.38
C486291512,0.0,73137.44,1.0,0,User,73137.44
C1634365230,0.0,35444.14,1.0,0,User,35444.14
C1619730527,0.0,254528.76,1.0,1,Mule,254528.76
C1445328479,0.0,176626.77,1.0,1,Mule,176626.77
C1242158531,0.0,123873.36,1.0,0,User,123873.36
C1730249059,0.0,191626.26,1.0,0,User,191626.26
C2147254638,0.0,168034.07,1.0,0,User,168034.07
C791486868,6362425.069999999,0.0,19.0,1,Mule,334864.47736842104
C2130281934,0.0,508568.02,1.0,0,User,508568.02
C78352329,1788729.73,0.0,1.0,1,Mule,1788729.73
C1993947775,0.0,693889.52,1.0,0,User,693889.52
C304864645,4042167.66,0.0,16.0,1,Mule,252635.47875
C466144148,1511709.76,0.0,7.0,1,Mule,215958.53714285715
C747940729,0.0,198307.75,1.0,0,User,198307.75
C1638285011,0.0,29730.05,1.0,0,User,29730.05
C81812900,0.0,328198.59,1.0,0,User,328198.59
C1269836856,0.0,348784.1,1.0,0,User,348784.1
C1286029841,0.0,375658.91,1.0,0,User,375658.91
C811809044,0.0,111961.95,1.0,0,User,111961.95
C7656549631,576393.9740775401,552137.9534884831,2.0,1,Mule,564265.9637830115
C268984152,0.0,10211.81,1.0,1,Mule,10211.81
C668087931,0.0,145174.93,1.0,0,User,145174.93
C1841729544,0.0,160757.02,1.0,0,User,160757.02
C2031893439,0.0,154779.85,1.0,0,User,154779.85
C852832309,0.0,214793.32,1.0,1,Mule,214793.32
C2692997727,771896.7232820666,745594.3579412812,2.0,1,Mule,758745.5406116738
